,question,answer,intent
65,Can I schedule when Windows Updates are installed and will these required updates force restart my computer?,"You can schedule when Updates are installed and no, updates do not force restart your computer.   Open the Notification icon from the Notification Area and click Don't forget: a restart is scheduled... ",software_updates_frequency
66,"Regarding the new servicing model for Windows 10, will Enterprise customers be required to adopt the rapid release cadence too?","No, Enterprise customers will continue to service and manage their Windows 10 clients the same way they do today. Here is what Terry Myerson had to say:  We understand that businesses require choice in how updates are delivered, and at what pace. So as I discussed on September 30th, with Windows 10, businesses will be able to pick the speed of innovation that is right for each   group of their users, rather than rely on a one size fits all solution.  Business customers will be able to opt-in to the fast-moving consumer update pace, or lock-down mission critical environments to receive only security and critical updates to their systems. And businesses will have an additional   option for systems that aren’t mission critical, but need to keep pace with the latest innovations while having the benefit to install updates after they have been tested in the broad market. And the choice isn’t one or the other for businesses; we expect   that most corporations will require a mix of these options to accommodate their business scenarios. Take for example an investment bank, where mission critical systems on the trading floor receive only security updates, whereas mobile devices for financial   advisors are kept up to date with the latest feature innovations – enabling the appropriate pace of updates for each device.  Source:   http://blogs.windows.com/business/2015/01/21/windows-10-an-exciting-new-chapter/ ",software_updates_frequency
67,Will the new Microsoft Edge web browser replace Internet Explorer in Windows 10?,"No, Windows 10 will continue to include an updated version of Internet Explorer 11 for compatibility with legacy web sites. Microsoft Edge is based on a new engine, so some older web sites will switch to the older Internet Explorer 11 engine for compatibility   purposes. Get   Started with Microsoft Edge - Tips and Tricks for the new user. ",program_compatability
68,"I did a clean install of Windows 10 but cannot find Internet Explorer, what happened?",See:  How to locate and open Internet Explorer in Windows 10 ,program_compatability
69,How does Windows 10 handle privacy?,"Windows 10 includes a new Privacy setting so you can control how much information you share with Microsoft and apps installed on your computer. To adjust privacy settings, open Settings > Privacy.  http://aka.ms/privacy  Will non-genuine Windows licenses qualify for the Windows 10 upgrade? The simple answer is no. This is what Terry Mason had to say:  Microsoft and our OEM partners know that many consumers are unwitting victims of piracy, and with Windows 10, we would like all of our customers to move forward with us together. While our free offer to upgrade to Windows 10 will not apply to Non-Genuine   Windows devices, and as we’ve always done, we will continue to offer Windows 10 to customers running devices in a Non-Genuine state. In addition, in partnership with some of our valued OEM partners, we are planning very attractive Windows 10 upgrade offers   for their customers running one of their older devices in a Non-Genuine state. Please stay tuned to learn more from our partners on the specifics of their offers.  Source:   http://blogs.windows.com/bloggingwindows/2015/05/15/genuine-windows-and-windows-10/ ",privacy
70,Where can I get more information about Windows 10?,"*******************************************************************************************************************   Was this article helpful?  Yes No Sorry this didn't help. Great! Thanks for your feedback. How satisfied are you with this article? Thanks for your feedback, it helps us improve the site. How satisfied are you with this article? Thanks for your feedback. * Please try a lower page number. * Please enter only numbers. * Please try a lower page number. * Please enter only numbers. Andre,  A very informative summary.  Thanks.  Does Windows 10 support syncing across USB cable / WiFi hotspot or only through OneDrive?  [So that Outlook Calendar & Contacts can be sent to a tablet without having to use my internet data allowance?] 2 people found this comment helpful Was this comment helpful?  Yes No Sorry this didn't help. Great! Thanks for your feedback. How satisfied are you with this comment? Thanks for your feedback, it helps us improve the site. How satisfied are you with this comment? Thanks for your feedback. 5 people found this comment helpful Was this comment helpful?  Yes No Sorry this didn't help. Great! Thanks for your feedback. How satisfied are you with this comment? Thanks for your feedback, it helps us improve the site. How satisfied are you with this comment? Thanks for your feedback. Andre,  Thanks for that additional [disappointing] info.  If Windows 10 had introduced local [USB, hotspot] syncing I could consider Windows tablets & phones in the future. I quite like the idea of having the same OS on everything.  Without local syncing in Windows 10, I'll stick to Android tablets & phones with  MyPhoneExplorer for local syncing of MS Outlook Calendar-Contacts-Notes & general files. 4 people found this comment helpful Was this comment helpful?  Yes No Sorry this didn't help. Great! Thanks for your feedback. How satisfied are you with this comment? Thanks for your feedback, it helps us improve the site. How satisfied are you with this comment? Thanks for your feedback. Many thanks for the article! Vainly tried to find an answer on Internet on the following question:  way back, early 2013, for a limited period of time one could purchase an upgrade from Windows 7->Windows 8. at the same time, one could additionally order the Windows 8 DVD (at € 15, or so)  I assume this will also be the case once Windows 10 will be released.  The upgrade is free (for Windows 7/8 users), but presumably the DVD go at actual costs, same as with Windows 8. ",general
71,Q: will the  DVD-upgrade-version in fact be a 'full' package?,"(either OEM or Retail)  Meaning to say that once upgrade of version 10 is being installed on a -clean- HDD formatted pc, the setup will require both the Windows 10 key, then notice it is an upgrade, and subsequently ask for either the Windows 7 or Windows 8 key (OEM or retail).  This way it is not necessary to first install 7 or 8 and then install v10 over it.  I know Adobe follows this method: each upgrade basically is a full package, the key determines if it is an upgrade and the key of a previous version should additionally be entered.  Note: I am using full retail versions only, i.e. sofar I have never installed a Windows upgrade, so I wouldn't know this is already common practice with Microsoft products.  - 2 people found this comment helpful Was this comment helpful?  Yes No Sorry this didn't help. Great! Thanks for your feedback. How satisfied are you with this comment? Thanks for your feedback, it helps us improve the site. How satisfied are you with this comment? Thanks for your feedback. 4 people found this comment helpful Was this comment helpful?  Yes No Sorry this didn't help. Great! Thanks for your feedback. How satisfied are you with this comment? Thanks for your feedback, it helps us improve the site. How satisfied are you with this comment? Thanks for your feedback. 2 people found this comment helpful Was this comment helpful?  Yes No Sorry this didn't help. Great! Thanks for your feedback. How satisfied are you with this comment? Thanks for your feedback, it helps us improve the site. How satisfied are you with this comment? Thanks for your feedback. Many thanks for the article! Vainly tried to find an answer on Internet on the following question:  way back, early 2013, for a limited period of time one could purchase an upgrade from Windows 7->Windows 8. at the same time, one could additionally order the Windows 8 DVD (at € 15, or so)  I assume this will also be the case once Windows 10 will be released. No, it will be free for everyone to upgrade to within the first year, so if you purchase a laptop even 3 months before Windows 10 is launched, you are going to get it anyway.  The upgrade is free (for Windows 7/8 users), but presumably the DVD go at actual costs, same as with Windows 8. Well, Microsoft has a create refresh/reset media for Windows 8.1, so I assume the same for Windows 10. ",dvd_upgrade
72,Q: will the  DVD-upgrade-version in fact be a 'full' package?,"(either OEM or Retail) Most likely, with the release of Windows 8.1, Microsoft made retail packaged versions full licenses.  Meaning to say that once upgrade of version 10 is being installed on a -clean- HDD formatted pc, the setup will require both the Windows 10 key, then notice it is an upgrade, and subsequently ask for either the Windows 7 or Windows 8 key (OEM or retail). We don't know all the details, you will have a year to find out and make a decision when Windows 10 is launched.  This way it is not necessary to first install 7 or 8 and then install v10 over it.  I know Adobe follows this method: each upgrade basically is a full package, the key determines if it is an upgrade and the key of a previous version should additionally be entered.  Note: I am using full retail versions only, i.e. sofar I have never installed a Windows upgrade, so I wouldn't know this is already common practice with Microsoft products.  -  2 people found this comment helpful Was this comment helpful?  Yes No Sorry this didn't help. Great! Thanks for your feedback. How satisfied are you with this comment? Thanks for your feedback, it helps us improve the site. How satisfied are you with this comment? Thanks for your feedback. As my preview download just started ten minutes ago, I read here that a NEW VERSION of the Windows 10 Evaluation is  released, to the elite first though. Build 10041, the 'Impressive Build' updates the January preview Build 9926, the 'Awesome Build' ??   I'll be looking in Updates for it, the changes look good. Via askvg.com:  New features and improvements in new build 10041:       Improvements to Start Menu      Start Menu is now transparent      Improvements to Virtual Desktops      Cortana now works on computers in China, UK, France, Italy, Germany and Spain along with U.S.      New network fly-out from Taskbar      Rotating background images on Lock Screen   4 people found this comment helpful Was this comment helpful?  Yes No Sorry this didn't help. Great! Thanks for your feedback. How satisfied are you with this comment? Thanks for your feedback, it helps us improve the site. How satisfied are you with this comment? Thanks for your feedback. Thanks for the information in the article.  One thing that was not answered is the question of which most concerns me.  Will the Windows 10 upgrade fix the multiple problems I have encountered with Windows 8.1?   These problems include but is not limited   to the following:   1)  Constant freezing and shut down of Excel while working with the product.  Message - ""Microsoft Excel has stopped working""  2) Attachments not appearing in my e-mail.   3) After upgrading from windows 8 to 8.1 several programs stopped   working correctly such as scanning from my printer.  If the answer to any of these problems is no I don't think I will be continuing with windows products.  After the frustrations I have encountered with windows 8.1, I was on the verge of ditching the whole system to try out Apple products until a friend mentioned   that they are about to release Windows 10.  So, one more chance to get it right Microsoft people.  I am looking forward to an upgrade away from 8.1  forever!! 2 people found this comment helpful Was this comment helpful?  Yes No Sorry this didn't help. Great! Thanks for your feedback. How satisfied are you with this comment? Thanks for your feedback, it helps us improve the site. How satisfied are you with this comment? Thanks for your feedback. If it printed in Windows 7 it should work in Windows 10.  Just wait, a driver ought to be released - by the company or in a Windows 10 update version.   No specific driver released for Windows 7 or 8 even released for my old HP printer.  In Windows 10 I can use it to print, installing nothing, using a driver for the HP series detected by Windows 10.   However it fails to provide all the options - SOLVED rather easily:  I  installed my favorite ArcSoft image processing program (for XP) into Windows 10 and printed using that no problem at all.  Note that program wouldn't install in Windows 7.  However an even older printer  - no luck in Windows 7-8-10,  only XP actually prints. 7 people found this comment helpful Was this comment helpful?  Yes No Sorry this didn't help. Great! Thanks for your feedback. How satisfied are you with this comment? Thanks for your feedback, it helps us improve the site. How satisfied are you with this comment? Thanks for your feedback. * Please try a lower page number. * Please enter only numbers. * Please try a lower page number.",dvd_upgrade
73,Can I change the name Cortana knows me by?,Yes you can.  Click in Ask me anything Click Settings (cog) icon    Click Change my name ,cortana_settings
74,Which languages and regions is Cortana available in?, Source:   http://en.wikipedia.org/wiki/Microsoft_Cortana ,cortana_settings
75,Can I put shortcuts on the Windows desktop?,Quick   Tip: Create desktop shortcuts in Windows 10 ,desktop_shortcuts
76,Is the Aero Glass theme available in Windows 10?,Some elements of Aero Glass have been introduced.  ie. ,theme_settings
77,Should I upgrade my existing version of Windows to Windows 10 Preview?,"Since Microsoft made available the first pre-release build of Windows 10 in early October 2014, there has been some misunderstanding that this is not a product you should use to replace a production installation of Windows such as Windows 8 or 7 or Vista.   Instead, if you must test it on a single machine, the best recommendation is to create a partition or have an a spare hard disk ready where you can install it. Windows 10 in its current pre-release state will expire and at the same time, it is unfinished work.   So if you must evaluate it, the best way is by installing it beside your commercial installation of Windows.  If you do choose to upgrade your existing version of Windows to Windows 10, please be warned, it will make your recovery partition in operable, requiring that you have separate recovery media for reinstallation if necessary.  Where can I get more information about preparing my computer safely for testing Windows 10? Backup your current installation of Windows. Because you will be making significant changes to your computer, you should always backup before doing so. It is  strongly recommended! See links to resources about backing up by clicking the link for the respective version of Windows you are running:   Windows XP,  Windows Vista,  Windows 7,  Windows 8/8.1 ",general
78,What is the latest build number?,Build 10166 or what is known as the 'Insider Preview' released late July 2015. ,current_build
79,When will the Windows 10 Previews expire?,"The expiration dates for Windows 10 Technical Preview vary by build number.  The table below summarizes the expiration dates for each of the builds we’ve released so far.  (Dates are subject to change.) Build number Expiration warnings begin License expiration date Windows will stop booting   9841  4/2/15  4/15/15  4/30/15    9860  4/2/15  4/15/15  4/30/15    9879  4/2/15  4/15/15  4/30/15    9926  9/17/15  10/1/15  10/15/15    10041  9/17/15  10/1/15  10/15/15    10049  9/17/15  10/1/15  10/15/15    10061 9/17/15  10/1/15  10/15/15    10074 9/17/15  10/1/15 10/15/15    10122 9/17/15 10/1/15 10/15/15    10130 9/17/15 10/1/15 10/15/15    10158 9/17/15 10/1/15 10/15/15    10159 9/17/15 10/1/15 10/15/15    10162 9/17/15 10/1/15 10/15/15    10166 9/17/15 10/1/15 10/15/15   Approximately 2 weeks before a build’s license expires, you will start getting warnings that this build will expire and that you should update to the most recent build.  When the build reaches the license expiration date, the system will automatically reboot every three hours.  Approximately 2 weeks after the license expires, the build will no longer boot at all.  If you are still on an older build and are getting expiration warnings, it is likely that Windows Update is failing to install the latest build automatically.  To resolve the problem, download the latest ISO file from  http://windows.microsoft.com/preview-iso-update.  After the download is complete, double-click the ISO file to mount   it and then launch setup.exe.  If Windows has stopped booting due to an expired license, to resolve the issue you’ll need to  download the ISO file from another computer and then transfer the ISO file to installation media such   as a USB flash drive or DVD.   Then boot the PC from the installation media to install the latest build of Tech Preview.  Source:  Expiration Dates for Windows 10 Technical Preview  Subsequent Previews might extend the expiration. ",general
80,How does Microsoft determine when a new build of Windows 10 is released?,Learn more:   http://blogs.windows.com/bloggingwindows/2015/03/09/frequency-and-predictability-of-builds-for-windows-insiders/ ,windows_10_builds
81,How can I get this new build?,"If you are already running one of the Preview builds of Windows 10 (build 9841, 9860 or 9879) released in late 2014, you will be able to upgrade to it using PC Settings (Click Start > PC Settings > Update and Recovery > Preview Builds).  Learn more:  How to install the latest Windows 10 build  If you are running a previous version of Windows, you will be able to download the .ISO file from the Windows Insider Program page and create a bootable copy which you can use to upgrade or create a dual boot configuration.  http://windows.microsoft.com/en-us/windows/preview-iso-update?os=win10  ",perform_software_update
82,Will the new preview of Windows 10 include all the features demonstrated at the Windows 10 event?,"No, some features demonstrated at the Windows 10 event are still under development. When they are ready, they will be rolled out over the next 3 to 5 months. ",windows_10_launch
83,Are there any known issues in Windows 10 build 9926 I should be aware of ?," Yes, please review the following: There   are two Stores in Windows 10 Technical Preview Unable   to update Windows Store apps in build 9926 Music   app stops after being minimized Start menu doesn’t appear Long   app names shortened on the tile Known   issues with Narrator and other screen readers I receive an error - cannot upgrade because PC uses an compressed operating system ",known_problems
84,Are there any known issues in Windows 10 build 10041 I should be aware of ?,"Yes, please review the following:",known_problems
85,"When I try to upgrade, I receive the following error message:  Windows can't be installed because this PC uses a compressed operating system. What can I do?"," Important notes Some PC processors and hardware configurations aren’t supported by Technical Preview, including a small number of older, 64-bit CPUs, and some 32 GB and all 16 GB devices running a compressed operating system. Source:  http://windows.microsoft.com/en-us/windows/preview-faq-system-requirements-pc  Update: Microsoft officials have confirmed support in Windows 10 build 10041 or later. Some users continue to experience problems when attempting to install on low storage devices. This will continue to be refined as we approach the final release.  Learn more:   http://blogs.windows.com/bloggingwindows/2015/03/16/how-windows-10-achieves-its-compact-footprint/ ",installation_errors
86,Where can I get more information about Windows 10?," Retired information - the information below describes information relating to the launch of Windows 10 in July of 2015. It is available for historical purposes:  How will I know when Windows 10 is available?  Between now and launch, the following KB update (https://support.microsoft.com/en-us/kb/3035583)  should be installed on your Windows 7/8.1 computer. Volume License   customers will not receive this update because of IT requirements in managed environments. If its not already installed, open Windows Update and check for Updates.    To check if the updates is already installed:  Click Start (or press Windows key + S for Windows 8.1 users) Type: view installed updates Hit Enter on your keyboard  Look through the list for the KB3035583 update.  Once that is installed, you should see the following pop up in the Notification area of the Taskbar.  Learn more: How   to reserve your free upgrade to Windows 10 ",general
87,What is the Reserve Upgrade app?,"The Windows 10 upgrade is designed to be compatible with your current Windows device and applications*. We are hard at work to make this upgrade process a great experience.  You can reserve your free Windows 10 upgrade now through a simple reservation process. Look for this icon in your system tray at the bottom of your screen, simply click on the icon, and then complete the reservation process.   You can find more details on how this works at Windows.com.   The reservation app is not working, it displays a blank screen:  If the Reservation application (Windows 10 app) has a blank screen or does not work or is not available, here are a list of things you can try:  The ""Get Windows 10"" app doesn’t appear in Windows 7 or 8.1 https://support.microsoft.com/en-us/kb/3081048  Please be aware even if you do not get the Windows 10 app, you can still download Windows 10 as a .ISO file, create a bootable copy and upgrade your system.  How   to: upgrade from previous versions of Windows using Windows 10 ISO file  See instructions: How   to download official Windows 10 ISO files  Once started, it may take 10 minutes or so for the appraiser to complete. Once complete, re-open the Get Windows 10 app and it will have the updated compatibility information.  Restart your computer and try again.  Dan Charlton - Windows DirectX Graphics team  If the above does not work, try uninstalling both updates and reinstall them: Press Windows key + X (for Windows 7 click Start, type: cmd   then right click cmd and click Run as administrator) Click Command Prompt (Admin)  At the command prompt, enter the following commands: wusa /uninstall /kb:3035583 wusa /uninstall /kb:2952664  Exit the command prompt, restart and run Windows Update again.  If the problem persist, see the following: I want to reserve my free copy of Windows 10,   but I don’t see the icon on the taskbar  Can I reserve even if I didn’t get a notification? Yes. You can reserve your upgrade at any time on any compatible PC by clicking on the Get Windows 10 app or the Windows Update control panel.  http://www.microsoft.com/en-us/windows/windows-10-faq  This update is not required to get Windows 10, you can still get it even though you don't get the notification. Just download it on July 29th 2015 when it becomes available. You will have one year to do so. The Reserve app is just a reminder/notification   for its availability.  How can I cancel my reservation? I don't want to upgrade to Windows 10 at all. Open the Reservation app in the notification area (double click it) Click the Hamburger menu in the upper left corner, then select View Confirmation.  In the lower left, click Cancel reservation and then confirm (twice). ",general
88,Can I change the email address used to reserve the free upgrade?,"You have to cancel the reservation and reserve Windows 10 again if you want it to use a different email address.  To cancel reservation follow the below steps:  Click/tap on the Get Windows 10 app icon on the taskbar notification area.   Click/tap on the ""hamburger"" style menu button at the top left corner in the Get Windows 10 app.  Click/tap on View confirmation under Getting the upgrade.  Click/tap on the Cancel reservation link.  Click/tap on Cancel reservation to confirm.  Click/tap on Close.  This will cancel the reservation, now go ahead and reserve it with the new email. ",general
89,Can I uninstall the Reservation completely from my computer?,"Click Start (or press Windows key + S for Windows 8.1 users) Type: view installed updates Hit Enter on your keyboard  Look through the list for the KB3035583 and KB2976978 update.  Right click each update and click Uninstall.  Other reasons why you might not be seeing it: Why don’t I have the Get Windows 10 app? If you don’t see the Get Windows 10  app on your PC, it might be because:  Running Windows Update and installing any available updates will fix the first three issues. Need more help? Go to our   Windows Community Forum.  PCs that we determine cannot run Windows 10 will not see the Get Windows 10  app before July 29, 2015. After July 29, 2015, we’ll enable the icon in the system tray. This is to help ensure that you can easily check your PC’s compatibility if you   choose.  If your device is managed as part of a school or business network, please check with your IT administrator about upgrading to Windows 10.  http://www.microsoft.com/en-us/windows/windows-10-faq ",out_out_scope
90,How can I check my status or enter my email if I did not get the chance to?,"You can check your upgrade status by right clicking this icon:    Source:   http://dellwindowsreinstallationguide.com/preparing-for-windows-10/  Enter your email and click Send confirmation.  Also, you can open Windows Update and check there.   ",upgrade_status
91,Is it really necessary to reserve Windows 10?,"No, it is completely optional and you will get Windows 10 either way, it is simply a reminder. ",reserve_windows_10
92,For systems running Windows 7 RTM or Windows 8.0 RTM that cannot be updated Service Pack 1 and Update 1 respectively; how can they qualify for the free upgrade?," Persons running those releases will need to perform an offline upgrade using the .ISO file for Windows 10 which will be available. Your personal files, apps and settings will still be preserved. How to: upgrade from previous versions of Windows using   Windows 10 ISO file  Click HERE to download official ISO media for Windows 10 from Microsoft. ",upgrading_incompatable_devices
93,Can I perform a clean install using the Free upgrade?,"No, it will require that you are running a previous qualifying version and start the upgrade from within the qualifying version. You can initiate a clean install after completing the Upgrade.  Please be aware that you cannot use the free upgrade offer to perform a clean install on first attempt. You must first upgrade from the qualifying version of Windows 7 or Windows 8/8.1 (whether you do   it through Windows Update  or using the .ISO file). Ensure the upgrade is completed successfully and then ensure that it is activated. You can then proceed to do a clean install by using recovery media or using the Reset function in Start > Settings > Update   & Security > Recovery > Reset this PC (Get Started).  See: How   to: Perform a clean install using Reset this PC in Windows 10 How   to: Create a Recovery Drive for reinstalling Windows 10  ",windows_10_launch
94,Will domain joined non volume license Windows Pro clients receive the upgrade offer?,Domain Joined computers are not supported at this time. Your best option is to download the .ISO file and upgrade the computers manually/offline. ,windows_10_launch
95,How will Domain Joined computers that are not volume license clients be able to check their systems and reserve the Windows 10 upgrade?,You will need to use Enterprise Assessment tools for the range of computers you have. The reservation app does not work in complex IT environments.  Microsoft is likely to release a new version of its Microsoft Assessment and Planning Toolkit (MAP) that will support Windows 10. It can help you quickly inventory small or large IT environments without requiring you to install any agent software in your   environment.  Watch this blog for updates to know when it will be available with support for Windows 10. http://blogs.technet.com/b/mapblog/ ,windows_10_launch
96,Will I be able to purchase a new computer preinstalled with Windows 10 on July 29th?,"It is very likely you will be able to purchase a new computer with Windows 10 preinstalled on launch day. OEMs are usually given a grace period before general availability to have systems ready with a new version of Windows. Windows 10 is slightly different   though and OEMs are able to have more time to have systems prepared because of earlier access to preview builds and closer engagement with Microsoft to work on unique features that are available in Windows 10 requiring new hardware.  Check out the following article for a list of some systems that will come preinstalled with Windows 10  http://blogs.windows.com/bloggingwindows/2015/06/03/new-windows-10-devices-from-partners-showcased-at-computex-2015/  Also: If I buy a new PC today, can it upgrade to Windows 10? Yes, new qualified PCs can run Windows 10. Windows 10 is designed to be compatible with the Windows 8.1 laptop, tablet or desktop PCs that are for sale now. Device manufacturers make decisions about their device models and some Windows 10 features may   not be available on certain devices, so be sure to check with the retailer or manufacturer for details.  Source:  http://www.microsoft.com/en-us/windows/windows-10-faq  Do I have the option of delaying the download? You can configure Windows Update the day before July 29th 2015 to check for updates but let you decide when to install them to avoid having the upgrade download automatically.  If you set your Internet connected as metered, Windows Update will not download the upgrade.    In Windows 8/8.1, click the View Available Network icon in the system tray, then right click your Internet Connection and select the option to  Set as metered connection.  Once this is enabled, then Windows Update will not download the Upgrade on such a connection.  For Windows 7 users:  If you don't want updates to be installed automatically, you can choose to be notified when updates apply to your computer instead. Then, you can download and install them yourself, or you can set Windows to automatically download updates, and then notify   you so you can install them yourself. Here's how to change how Windows installs or notifies you about updates: Open Windows Update by clicking the Start button . In the search box, type  Update, and then, in the list of results, click Windows Update. In the left pane, click Change settings. Under Important updates, select the following: Install updates automatically (recommended) Download updates but let me choose whether to install them Check for updates but let me choose whether to download and install them Never check for updates (not recommended) To schedule your automatic updates, next to Install new updates, select the day and time you want updates to occur. Source: http://windows.microsoft.com/en-us/windows/change-windows-update-installation-notification#1TC=windows-7 ",computer_purchases
97,Resources: How   to: Upgrade to Windows 10 if you are on a slow or metered Internet connection?,,remove
98,Do I have to upgrade specifically on July 29th?,You have one entire year to take advantage of the free upgrade offer. Just make sure you do it before  July 28th 2016. ,windows_10_launch
